"","Depth","Count","lml.Mean","lml.Sd","Simpson.Mean","Simpson.Sd","Shannon.Mean","Shanon.Sd","Genotype"
"1",1,13,-127100.486278592,NA,0.435154262785228,0.250662150842867,0.960477137291734,0.485541542010745,"I"
"2",2,34,-6575.38098047772,3991.09480795916,0.373839911892169,0.234510603737994,0.763771887956005,0.411506392212875,"I"
"3",3,68,-1882.19078110871,1608.91354159893,0.29536966142545,0.191170003376027,0.568892759945427,0.364589694630299,"I"
"4",4,124,-758.564591177221,849.51572297463,0.22251623202286,0.217830040428781,0.404251720620589,0.378362072106903,"I"
"5",5,187,-434.469889689416,705.453455609411,0.156873771821521,0.241774295432088,0.272573983641335,0.528102913806349,"I"
"6",6,225,-392.458179705356,704.910988192068,0.121528625682717,0.139922151372109,0.212095903712769,0.237045124624322,"I"
"7",7,241,-404.78405048671,730.989181697213,0.112721938854241,0.217432079358479,0.196215252144133,0.360894543020384,"I"
"8",8,247,-423.448236383801,747.863669831119,0.110431347447076,0.145931920771852,0.191135564626384,0.257958850052915,"I"
"9",9,248,-447.248251704291,764.447463583783,0.110266077676904,0.203404122474435,0.190663965670939,0.414453123317596,"I"
"10",10,248,-452.413648236915,767.846726234186,0.110266077676904,0.205638297955697,0.190663965670939,0.370599976744043,"I"
"11",11,248,-452.413648236915,767.846726234186,0.110266077676904,0.23285679103441,0.190663965670939,0.547319978010898,"I"
"12",12,248,-452.413648236915,767.846726234186,0.110266077676904,0.25681667074565,0.190663965670939,0.586961146114461,"I"
"13",1,8,-24832.3925494545,NA,0.468348459271691,0.0592551107774249,0.992548710507502,0.172753883737225,"IV"
"14",2,24,-1765.48535470184,1095.28113824733,0.269004817744738,0.217412424798745,0.533999952363644,0.39248536157834,"IV"
"15",3,49,-448.562371836909,538.214490256236,0.188389460509388,0.224079618366035,0.334996128321874,0.476241306762942,"IV"
"16",4,75,-215.271482882901,386.042556956093,0.145550711267589,0.258944955084459,0.246458865955112,0.45065986234672,"IV"
"17",5,90,-152.559658862111,360.556651667464,0.124037879745575,0.248375607992673,0.205137798827487,0.495913486879502,"IV"
"18",6,97,-136.222902337635,365.932395316973,0.117624972464218,0.273665658890198,0.190954832022592,0.484206342482989,"IV"
"19",7,99,-144.949497953215,390.56489840367,0.114968126780317,0.0936484065932085,0.184725444966303,0.171810981329826,"IV"
"20",8,100,-145.861034019155,398.440495910748,0.114512889956958,0.212122251842485,0.1836199807534,0.446786564056573,"IV"
"21",9,100,-150.196184780034,406.030321305275,0.114512889956958,0.262969460821588,0.1836199807534,0.503717554278116,"IV"
"22",10,100,-150.196184780034,406.030321305275,0.114512889956958,0.232337470742094,0.1836199807534,0.457145872045468,"IV"
"23",11,100,-150.196184780034,406.030321305275,0.114512889956958,0.166651279238661,0.1836199807534,0.300411425417353,"IV"
"24",12,100,-150.196184780034,406.030321305275,0.114512889956958,0.211767144846323,0.1836199807534,0.358666686602119,"IV"
"25",1,11,-65524.8877053032,NA,0.664781824543618,0.275761127228681,1.46738701301037,0.590739921569038,"V"
"26",2,30,-3784.94078065546,2266.64639150451,0.466490729779821,0.0887720557311166,0.905827128256061,0.267574840238978,"V"
"27",3,70,-993.766627552361,735.943969943123,0.283501907014243,0.305142918825705,0.512397828730464,0.855097325647456,"V"
"28",4,120,-335.607020370281,408.074812275454,0.196034156996703,0.333192602886441,0.333448098874019,0.834090781089431,"V"
"29",5,167,-233.919533035755,378.281785530582,0.143345898704137,0.299090459210296,0.237867351399816,0.666491894809595,"V"
"30",6,190,-207.391636980335,385.570915909697,0.124078668717789,0.150582103151942,0.204851990571487,0.235008123802721,"V"
"31",7,201,-228.950574710291,409.647271174787,0.116650665627233,0.16717108494348,0.190933949954761,0.386442965436798,"V"
"32",8,204,-250.58641978691,427.009212288032,0.11248423426997,0.192722980210519,0.184728317452682,0.559678430623619,"V"
"33",9,204,-254.494255311665,430.221071344591,0.11248423426997,0.077821298431836,0.184728317452682,0.211652751095353,"V"
"34",10,204,-254.494255311665,430.221071344591,0.11248423426997,0.155336192323354,0.184728317452682,0.285837096000391,"V"
"35",11,204,-254.494255311665,430.221071344591,0.11248423426997,0.253148529465507,0.184728317452682,0.434688966938073,"V"
"36",12,204,-254.494255311665,430.221071344591,0.11248423426997,0.119757152099882,0.184728317452682,0.396095281429588,"V"
