"","Depth","Simpson.Mean","Simpson.Sd"
"Mean1",1,0.435154262785228,0.250662150842867
"Mean2",2,0.373839911892169,0.234510603737994
"Mean3",3,0.29536966142545,0.191170003376027
"Mean4",4,0.22251623202286,0.217830040428781
"Mean5",5,0.156873771821521,0.241774295432088
"Mean6",6,0.121528625682717,0.139922151372109
"Mean7",7,0.112721938854241,0.217432079358479
"Mean8",8,0.110431347447076,0.145931920771852
"Mean9",9,0.110266077676904,0.203404122474435
"Mean10",10,0.110266077676904,0.205638297955697
"Mean11",11,0.110266077676904,0.23285679103441
"Mean12",12,0.110266077676904,0.25681667074565
