"","Genotype","Subgenotype","Count"
"1","I","1A",109
"2","I","1B",181
"3","I","1C",178
"4","I","1D",327
"5","I","1E",521
"6","I","1F",140
"7","I","1G",235
"8","I","1H",371
"9","I","1I",86
"10","I","1J",385
"11","I","1K",107
"12","I","1L",151
"13","I","1M",161
"14","IV","4A",75
"15","IV","4B",36
"16","IV","4C",76
"17","IV","4D",30
"18","IV","4E",90
"19","IV","4F",36
"20","IV","4G",21
"21","IV","4H",196
"22","V","5A",7
"23","V","5B",37
"24","V","5C",317
"25","V","5D",7
"26","V","5E",1
"27","V","5F",1
"28","V","5G",1
"29","V","5H",5
"30","V","5I",9
"31","V","5J",3
"32","V","5K",58
"33","V","5L",126
"34","V","5M",47
"35","V","5N",120
"36","V","5O",325
"37","V","5P",206
"38","V","5Q",109
"39","V","5R",106
