"","Country","I","IV","V"
"1","Angola",0,1,7
"2","Argentina",0,0,130
"3","Aruba",0,0,3
"4","Australia",17,12,2
"5","Bahamas",0,0,1
"6","Bangladesh",0,0,1
"7","Barbados",0,0,6
"8","Belize",0,0,4
"9","Bhutan",0,0,33
"10","Brazil",0,0,182
"11","Cambodia",105,0,0
"12","China",344,41,133
"13","Colombia",0,0,139
"14","Comoros",0,0,1
"15","Cook_Islands",0,3,0
"16","Costa_Rica",0,0,21
"17","Cote_dIvoire",0,0,2
"18","Djibouti",1,0,0
"19","Dominica",0,0,3
"20","East_Timor",0,23,0
"21","Easter_Island",0,1,0
"22","Ecuador",0,0,6
"23","El_Salvador",0,0,5
"24","Eritrea",1,0,0
"25","Fiji",0,15,0
"26","French_Guiana",0,0,1
"27","French_Polynesia",10,91,1
"28","Grenada",0,0,9
"29","Guyana",0,0,1
"30","Haiti",0,0,7
"31","Honduras",0,0,4
"32","India",12,0,61
"33","Indonesia",220,110,2
"34","Jamaica",0,0,3
"35","Japan",11,0,0
"36","Kiribati",0,4,0
"37","Laos",91,0,0
"38","Madagascar",0,1,0
"39","Malaysia",55,5,6
"40","Maldives",1,0,3
"41","Marshall_Islands",0,1,0
"42","Martinique",0,0,3
"43","Mexico",0,0,250
"44","Micronesia",1,4,0
"45","Myanmar",334,1,8
"46","Nauru_Island",0,1,0
"47","Nepal",0,0,11
"48","New_Caledonia",13,54,0
"49","Nicaragua",0,0,72
"50","Nigeria",0,0,1
"51","Niue",0,3,0
"52","Pakistan",0,0,10
"53","Palau",0,1,0
"54","Papua_New_Guinea",4,11,0
"55","Paraguay",0,0,18
"56","Peru",0,0,1
"57","Philippines",0,128,0
"58","Puerto_Rico",0,0,92
"59","Reunion",0,7,2
"60","Saint_Barthelemy",0,0,1
"61","Samoa",0,3,0
"62","Saudi_Arabia",7,0,3
"63","Seychelles",0,3,0
"64","Singapore",183,6,108
"65","Solomon_Islands",0,2,0
"66","Somalia",5,0,0
"67","Sri_Lanka",22,0,1
"68","Suriname",1,0,1
"69","Thailand",336,1,7
"70","Tonga",0,2,0
"71","Trinidad_and_Tobago",0,0,3
"72","USA",0,0,29
"73","USA.Hawaii",1,21,0
"74","Vanuatu",0,1,0
"75","Venezuela",0,0,83
"76","Vietnam",1164,1,0
"77","Virgin_Islands",0,0,1
"78","Wallis_and_Futuna",0,1,0
