"","country","direct","NUM","region"
"1","Argentina","within",4,"America"
"2","Aruba","within",1,"America"
"3","Australia","within",3,"SEA"
"4","Bahamas","within",2,"America"
"5","Barbados","within",2,"America"
"6","Belize","within",1,"America"
"7","Brazil","within",6,"America"
"8","Cambodia","within",7,"GMS-EastAsia"
"9","China","within",10,"GMS-EastAsia"
"10","Colombia","within",2,"America"
"11","Comoros","within",1,"SouthAsia"
"12","Cook_Islands","within",1,"Oceania"
"13","Costa_Rica","within",1,"America"
"14","Djibouti","within",1,"RedSeaRegion"
"15","Dominica","within",2,"America"
"16","East_Timor","within",2,"SEA"
"17","Ecuador","within",1,"America"
"18","El_Salvador","within",3,"America"
"19","Fiji","within",4,"Oceania"
"20","French_Guiana","within",1,"America"
"21","French_Polynesia","within",4,"Oceania"
"22","Grenada","within",9,"America"
"23","Guyana","within",1,"America"
"24","Honduras","within",1,"America"
"25","Indonesia","within",6,"SEA"
"26","Jamaica","within",3,"America"
"27","Japan","within",3,"GMS-EastAsia"
"28","Kiribati","within",1,"Oceania"
"29","Laos","within",5,"GMS-EastAsia"
"30","Madagascar","within",1,"SWIR"
"31","Malaysia","within",1,"SEA"
"32","Marshall_Islands","within",1,"Oceania"
"33","Martinique","within",1,"America"
"34","Mexico","within",2,"America"
"35","Micronesia","within",2,"Oceania"
"36","Myanmar","within",6,"GMS-EastAsia"
"37","Nauru_Island","within",1,"Philippines"
"38","Nepal","within",1,"SouthAsia"
"39","Nicaragua","within",2,"America"
"40","Niue","within",3,"Oceania"
"41","Papua_New_Guinea","within",2,"Oceania"
"42","Paraguay","within",1,"America"
"43","Peru","within",1,"America"
"44","Philippines","within",1,"Philippines"
"45","Puerto_Rico","within",3,"America"
"46","Saint_Barthelemy","within",5,"America"
"47","Saudi_Arabia","within",2,"RedSeaRegion"
"48","Seychelles","within",1,"SWIR"
"49","Singapore","within",2,"SEA"
"50","Somalia","within",1,"RedSeaRegion"
"51","South_Korea","within",4,"GMS-EastAsia"
"52","Suriname","within",1,"America"
"53","Thailand","within",9,"GMS-EastAsia"
"54","Tonga","within",2,"Oceania"
"55","Trinidad_and_Tobago","within",1,"America"
"56","USA","within",6,"America"
"57","Vanuatu","within",1,"Oceania"
"58","Venezuela","within",5,"America"
"59","Viet_Nam","within",14,"GMS-EastAsia"
"60","Wallis_and_Futuna","within",1,"Oceania"
"61","Angola","within",0,"WestAfrica"
"62","Bangladesh","within",0,"SouthAsia"
"63","Haiti","within",0,"America"
"64","India","within",0,"SouthAsia"
"65","Maldives","within",0,"SouthAsia"
"66","New_Caledonia","within",0,"Oceania"
"67","Reunion","within",0,"SWIR"
"68","Samoa","within",0,"Philippines"
"69","Solomon_Islands","within",0,"Oceania"
"70","Sri_Lanka","within",0,"SouthAsia"
"71","Argentina","without",3,"America"
"72","Aruba","without",0,"America"
"73","Australia","without",7,"SEA"
"74","Bahamas","without",0,"America"
"75","Barbados","without",1,"America"
"76","Belize","without",0,"America"
"77","Brazil","without",1,"America"
"78","Cambodia","without",2,"GMS-EastAsia"
"79","China","without",19,"GMS-EastAsia"
"80","Colombia","without",1,"America"
"81","Comoros","without",4,"SouthAsia"
"82","Cook_Islands","without",0,"Oceania"
"83","Costa_Rica","without",0,"America"
"84","Djibouti","without",0,"RedSeaRegion"
"85","Dominica","without",0,"America"
"86","East_Timor","without",0,"SEA"
"87","Ecuador","without",0,"America"
"88","El_Salvador","without",0,"America"
"89","Fiji","without",1,"Oceania"
"90","French_Guiana","without",0,"America"
"91","French_Polynesia","without",2,"Oceania"
"92","Grenada","without",2,"America"
"93","Guyana","without",0,"America"
"94","Honduras","without",0,"America"
"95","Indonesia","without",19,"SEA"
"96","Jamaica","without",0,"America"
"97","Japan","without",10,"GMS-EastAsia"
"98","Kiribati","without",0,"Oceania"
"99","Laos","without",0,"GMS-EastAsia"
"100","Madagascar","without",0,"SWIR"
"101","Malaysia","without",7,"SEA"
"102","Marshall_Islands","without",0,"Oceania"
"103","Martinique","without",0,"America"
"104","Mexico","without",0,"America"
"105","Micronesia","without",1,"Oceania"
"106","Myanmar","without",1,"GMS-EastAsia"
"107","Nauru_Island","without",0,"Philippines"
"108","Nepal","without",0,"SouthAsia"
"109","Nicaragua","without",0,"America"
"110","Niue","without",0,"Oceania"
"111","Papua_New_Guinea","without",3,"Oceania"
"112","Paraguay","without",0,"America"
"113","Peru","without",1,"America"
"114","Philippines","without",4,"Philippines"
"115","Puerto_Rico","without",1,"America"
"116","Saint_Barthelemy","without",0,"America"
"117","Saudi_Arabia","without",1,"RedSeaRegion"
"118","Seychelles","without",1,"SWIR"
"119","Singapore","without",5,"SEA"
"120","Somalia","without",0,"RedSeaRegion"
"121","South_Korea","without",10,"GMS-EastAsia"
"122","Suriname","without",0,"America"
"123","Thailand","without",6,"GMS-EastAsia"
"124","Tonga","without",1,"Oceania"
"125","Trinidad_and_Tobago","without",0,"America"
"126","USA","without",2,"America"
"127","Vanuatu","without",1,"Oceania"
"128","Venezuela","without",0,"America"
"129","Viet_Nam","without",6,"GMS-EastAsia"
"130","Wallis_and_Futuna","without",0,"Oceania"
"131","Angola","without",1,"WestAfrica"
"132","Bangladesh","without",1,"SouthAsia"
"133","Haiti","without",1,"America"
"134","India","without",2,"SouthAsia"
"135","Maldives","without",3,"SouthAsia"
"136","New_Caledonia","without",2,"Oceania"
"137","Reunion","without",1,"SWIR"
"138","Samoa","without",1,"Philippines"
"139","Solomon_Islands","without",1,"Oceania"
"140","Sri_Lanka","without",2,"SouthAsia"
